subscription_id,user_id,subscription_start_date,plan_tier,monthly_revenue,billing_cycle,is_active
S000001,U000002,2024-06-02,Pro,19.99,Monthly,False
S000002,U000007,2024-06-26,Family,24.99,Annual,False
S000003,U000008,2024-05-10,Pro,12.99,Monthly,False
S000004,U000009,2025-12-15,Pro,19.99,Monthly,False
S000005,U000013,2025-04-17,Pro,19.99,Monthly,True
S000006,U000018,2024-10-01,Family,24.99,Annual,False
S000007,U000019,2025-06-29,Pro,12.99,Monthly,False
S000008,U000020,2025-10-15,Pro,14.99,Annual,False
S000009,U000022,2025-08-08,Pro,14.99,Monthly,True
S000010,U000029,2025-04-15,Pro,14.99,Monthly,False
S000011,U000030,2025-09-08,Pro,14.99,Monthly,False
S000012,U000034,2026-01-15,Pro,14.99,Monthly,True
S000013,U000037,2024-11-14,Pro,14.99,Annual,True
S000014,U000038,2024-07-10,Pro,14.99,Monthly,False
S000015,U000039,2024-08-22,Pro,14.99,Monthly,False
S000016,U000043,2025-02-25,Family,29.99,Annual,False
S000017,U000046,2025-01-23,Family,29.99,Annual,True
S000018,U000047,2025-10-16,Pro,12.99,Monthly,False
S000019,U000048,2024-10-28,Pro,12.99,Monthly,True
S000020,U000051,2025-07-19,Family,29.99,Annual,True
S000021,U000057,2025-11-03,Pro,19.99,Monthly,False
S000022,U000059,2025-01-17,Pro,19.99,Monthly,True
S000023,U000060,2025-09-16,Pro,12.99,Monthly,False
S000024,U000068,2024-04-17,Pro,14.99,Annual,False
S000025,U000070,2024-05-18,Pro,14.99,Monthly,False
S000026,U000074,2025-10-29,Pro,14.99,Monthly,True
S000027,U000076,2024-07-23,Family,19.99,Annual,False
S000028,U000078,2025-01-31,Pro,14.99,Monthly,True
S000029,U000084,2025-11-19,Family,19.99,Annual,False
S000030,U000089,2025-07-15,Pro,19.99,Monthly,True
S000031,U000092,2025-05-21,Pro,19.99,Monthly,False
S000032,U000093,2025-02-19,Pro,12.99,Monthly,True
S000033,U000095,2025-11-12,Pro,12.99,Annual,False
S000034,U000096,2025-12-31,Pro,12.99,Monthly,False
S000035,U000098,2024-09-15,Family,24.99,Annual,True
S000036,U000100,2024-12-24,Pro,19.99,Annual,True
S000037,U000101,2024-04-06,Pro,14.99,Monthly,False
S000038,U000105,2025-02-28,Pro,14.99,Monthly,True
S000039,U000107,2024-04-01,Pro,12.99,Monthly,False
S000040,U000109,2025-09-02,Pro,14.99,Monthly,True
S000041,U000113,2025-06-11,Pro,14.99,Monthly,False
S000042,U000117,2024-06-24,Pro,19.99,Monthly,True
S000043,U000120,2024-09-23,Pro,19.99,Monthly,True
S000044,U000121,2025-08-28,Pro,14.99,Monthly,False
S000045,U000124,2025-09-07,Pro,12.99,Annual,False
S000046,U000125,2025-04-07,Family,29.99,Monthly,True
S000047,U000127,2025-03-15,Pro,12.99,Monthly,False
S000048,U000130,2024-06-09,Pro,14.99,Annual,True
S000049,U000134,2024-03-16,Family,24.99,Monthly,True
S000050,U000140,2025-04-12,Pro,12.99,Monthly,True
S000051,U000141,2025-09-25,Family,29.99,Monthly,False
S000052,U000146,2025-05-29,Pro,19.99,Monthly,False
S000053,U000147,2025-08-05,Pro,14.99,Monthly,False
S000054,U000149,2025-08-21,Pro,14.99,Annual,True
S000055,U000154,2025-07-23,Pro,14.99,Annual,False
S000056,U000157,2025-01-21,Family,29.99,Monthly,True
S000057,U000158,2024-05-17,Family,29.99,Monthly,False
S000058,U000168,2024-05-23,Family,19.99,Monthly,True
S000059,U000169,2025-10-31,Pro,12.99,Monthly,False
S000060,U000170,2024-12-02,Pro,19.99,Annual,True
S000061,U000174,2024-08-10,Pro,19.99,Monthly,True
S000062,U000178,2025-07-21,Family,19.99,Monthly,False
S000063,U000181,2025-09-30,Pro,14.99,Monthly,True
S000064,U000183,2025-05-27,Pro,14.99,Monthly,False
S000065,U000185,2024-05-10,Pro,14.99,Monthly,True
S000066,U000188,2024-10-10,Family,29.99,Monthly,False
S000067,U000193,2024-04-14,Pro,14.99,Monthly,False
S000068,U000194,2025-05-25,Pro,14.99,Monthly,False
S000069,U000202,2024-07-09,Family,24.99,Monthly,True
S000070,U000204,2025-07-27,Pro,19.99,Monthly,True
S000071,U000205,2025-10-22,Pro,12.99,Monthly,True
S000072,U000209,2026-01-18,Pro,14.99,Annual,True
S000073,U000210,2024-08-14,Pro,14.99,Monthly,False
S000074,U000211,2026-01-24,Pro,14.99,Monthly,True
S000075,U000212,2024-11-28,Family,29.99,Monthly,True
S000076,U000222,2024-09-24,Pro,12.99,Annual,False
S000077,U000223,2024-03-29,Pro,14.99,Annual,False
S000078,U000224,2025-01-17,Family,24.99,Monthly,True
S000079,U000226,2025-10-03,Family,24.99,Annual,False
S000080,U000227,2025-08-09,Pro,19.99,Monthly,True
S000081,U000231,2024-01-23,Pro,19.99,Monthly,False
S000082,U000233,2026-01-07,Family,24.99,Annual,False
S000083,U000236,2024-09-01,Pro,12.99,Monthly,True
S000084,U000237,2024-04-13,Pro,12.99,Monthly,True
S000085,U000238,2024-02-28,Pro,14.99,Monthly,False
S000086,U000239,2025-01-03,Pro,14.99,Monthly,True
S000087,U000242,2024-09-27,Family,24.99,Monthly,False
S000088,U000245,2025-06-01,Pro,14.99,Annual,False
S000089,U000247,2025-07-26,Pro,14.99,Annual,False
S000090,U000248,2024-06-09,Family,24.99,Monthly,True
S000091,U000250,2025-09-05,Pro,14.99,Monthly,True
S000092,U000255,2024-08-08,Pro,19.99,Monthly,True
S000093,U000256,2024-04-18,Family,24.99,Monthly,False
S000094,U000258,2025-11-16,Pro,19.99,Monthly,False
S000095,U000259,2025-03-29,Family,24.99,Annual,True
S000096,U000263,2025-05-04,Pro,14.99,Monthly,True
S000097,U000264,2024-03-24,Pro,19.99,Monthly,False
S000098,U000265,2025-11-29,Pro,14.99,Monthly,False
S000099,U000270,2025-03-04,Family,24.99,Monthly,False
S000100,U000273,2024-10-18,Pro,14.99,Monthly,True
S000101,U000275,2024-08-07,Pro,14.99,Annual,True
S000102,U000284,2024-03-28,Pro,19.99,Monthly,False
S000103,U000285,2025-04-22,Family,29.99,Monthly,False
S000104,U000288,2024-03-18,Pro,12.99,Annual,True
S000105,U000289,2025-11-23,Pro,12.99,Monthly,True
S000106,U000292,2024-04-20,Family,29.99,Annual,False
S000107,U000294,2024-07-23,Pro,12.99,Monthly,False
S000108,U000295,2025-03-12,Family,19.99,Monthly,True
