user_id,signup_date,country,device_type,acquisition_channel,plan_interest
U000001,2025-10-16,United Kingdom,Tablet,Email Campaign,Free
U000002,2024-04-24,United States,Desktop,Organic Search,Pro
U000003,2024-01-26,France,Mobile,Organic Search,Family
U000004,2024-10-08,Canada,Desktop,Paid Search,Free
U000005,2024-09-07,United Kingdom,Mobile,Referral,Free
U000006,2024-08-16,France,Desktop,Facebook Ads,Free
U000007,2024-05-22,Germany,Mobile,Paid Search,Free
U000008,2024-04-14,France,Desktop,Email Campaign,Free
U000009,2025-11-23,United States,Tablet,Email Campaign,Pro
U000010,2025-07-12,United Kingdom,Desktop,Email Campaign,Free
U000011,2024-03-30,United States,Mobile,Organic Search,Family
U000012,2025-08-27,United Kingdom,Mobile,Facebook Ads,Free
U000013,2025-03-08,France,Desktop,Email Campaign,Pro
U000014,2024-02-02,Australia,Tablet,Direct,Family
U000015,2024-01-31,United States,Desktop,Organic Search,Free
U000016,2024-04-05,United Kingdom,Desktop,Email Campaign,Free
U000017,2024-08-11,United Kingdom,Mobile,Organic Search,Pro
U000018,2024-08-26,United States,Tablet,Email Campaign,Free
U000019,2025-06-01,United States,Mobile,Email Campaign,Pro
U000020,2025-09-08,Netherlands,Desktop,Facebook Ads,Free
U000021,2024-01-28,Canada,Mobile,Facebook Ads,Free
U000022,2025-07-28,United Kingdom,Desktop,Email Campaign,Pro
U000023,2024-07-22,Canada,Mobile,Organic Search,Pro
U000024,2025-10-27,Netherlands,Mobile,Email Campaign,Free
U000025,2025-12-19,Germany,Desktop,Organic Search,Free
U000026,2025-07-12,United States,Mobile,Facebook Ads,Free
U000027,2025-03-05,Canada,Desktop,Referral,Pro
U000028,2024-08-13,United States,Desktop,Paid Search,Free
U000029,2025-04-04,Australia,Mobile,Email Campaign,Pro
U000030,2025-08-26,Netherlands,Desktop,Email Campaign,Free
U000031,2024-10-11,Netherlands,Tablet,Facebook Ads,Free
U000032,2024-01-07,United States,Desktop,Email Campaign,Pro
U000033,2024-06-12,United States,Mobile,Referral,Free
U000034,2025-12-15,United States,Desktop,Email Campaign,Free
U000035,2025-03-08,Germany,Mobile,Facebook Ads,Family
U000036,2024-12-14,Australia,Desktop,Direct,Free
U000037,2024-10-11,United Kingdom,Desktop,Email Campaign,Free
U000038,2024-06-08,United States,Desktop,Email Campaign,Free
U000039,2024-08-08,United States,Mobile,Email Campaign,Free
U000040,2024-12-10,Spain,Mobile,Paid Search,Pro
U000041,2024-04-14,United Kingdom,Mobile,Email Campaign,Free
U000042,2024-04-04,United States,Mobile,Facebook Ads,Free
U000043,2025-01-24,United States,Mobile,Email Campaign,Free
U000044,2024-04-09,Germany,Desktop,Email Campaign,Free
U000045,2025-01-02,Spain,Desktop,Email Campaign,Free
U000046,2024-12-18,United Kingdom,Desktop,Email Campaign,Pro
U000047,2025-09-10,United Kingdom,Mobile,Email Campaign,Free
U000048,2024-09-27,Germany,Desktop,Organic Search,Family
U000049,2024-02-14,Canada,Mobile,Facebook Ads,Free
U000050,2025-04-15,Spain,Tablet,Email Campaign,Pro
U000051,2025-07-03,Spain,Desktop,Paid Search,Family
U000052,2024-05-07,France,Desktop,Organic Search,Pro
U000053,2025-01-22,United States,Desktop,Direct,Pro
U000054,2024-03-21,Spain,Desktop,Email Campaign,Free
U000055,2025-07-19,United Kingdom,Mobile,Email Campaign,Pro
U000056,2024-10-27,Spain,Mobile,Organic Search,Free
U000057,2025-10-05,United Kingdom,Desktop,Email Campaign,Free
U000058,2025-09-25,Canada,Mobile,Email Campaign,Free
U000059,2025-01-05,France,Mobile,Paid Search,Pro
U000060,2025-08-14,United Kingdom,Desktop,Email Campaign,Free
U000061,2024-07-15,Australia,Tablet,Email Campaign,Free
U000062,2025-12-22,United States,Tablet,Referral,Family
U000063,2024-03-12,Australia,Tablet,Facebook Ads,Free
U000064,2024-02-16,Canada,Desktop,Paid Search,Free
U000065,2025-11-08,Australia,Mobile,Direct,Free
U000066,2024-08-21,France,Tablet,Organic Search,Free
U000067,2024-10-23,Canada,Mobile,Email Campaign,Pro
U000068,2024-03-22,United Kingdom,Desktop,Email Campaign,Pro
U000069,2024-08-26,Canada,Tablet,Direct,Free
U000070,2024-04-13,Netherlands,Mobile,Email Campaign,Pro
U000071,2025-01-24,Canada,Desktop,Referral,Free
U000072,2024-10-11,France,Desktop,Referral,Free
U000073,2025-04-09,United Kingdom,Mobile,Organic Search,Free
U000074,2025-10-12,Canada,Desktop,Organic Search,Free
U000075,2025-01-08,Netherlands,Desktop,Email Campaign,Free
U000076,2024-06-15,United States,Mobile,Direct,Pro
U000077,2025-01-14,Spain,Tablet,Direct,Free
U000078,2024-12-29,Netherlands,Desktop,Referral,Free
U000079,2024-08-02,United States,Tablet,Email Campaign,Pro
U000080,2025-11-17,Germany,Desktop,Organic Search,Free
U000081,2024-09-30,France,Mobile,Email Campaign,Free
U000082,2025-12-19,Australia,Mobile,Direct,Free
U000083,2025-11-30,Germany,Desktop,Facebook Ads,Pro
U000084,2025-10-25,United States,Desktop,Organic Search,Free
U000085,2024-03-14,Canada,Mobile,Referral,Free
U000086,2025-09-15,Germany,Mobile,Paid Search,Free
U000087,2025-10-12,Germany,Mobile,Email Campaign,Free
U000088,2024-06-24,United Kingdom,Mobile,Direct,Pro
U000089,2025-06-30,Spain,Desktop,Organic Search,Pro
U000090,2024-09-07,United States,Mobile,Email Campaign,Free
U000091,2024-06-16,United Kingdom,Mobile,Referral,Free
U000092,2025-04-18,Australia,Desktop,Email Campaign,Family
U000093,2025-01-23,United States,Desktop,Organic Search,Free
U000094,2024-10-03,United States,Mobile,Organic Search,Free
U000095,2025-10-17,Canada,Desktop,Email Campaign,Free
U000096,2025-12-05,United States,Mobile,Email Campaign,Pro
U000097,2025-07-24,Spain,Mobile,Paid Search,Free
U000098,2024-08-12,Netherlands,Mobile,Email Campaign,Free
U000099,2025-12-02,United Kingdom,Mobile,Facebook Ads,Family
U000100,2024-11-28,Canada,Desktop,Email Campaign,Pro
U000101,2024-02-27,United States,Tablet,Direct,Pro
U000102,2024-08-22,United Kingdom,Tablet,Referral,Free
U000103,2024-02-02,Canada,Desktop,Facebook Ads,Family
U000104,2024-11-19,Australia,Mobile,Email Campaign,Free
U000105,2025-02-14,United Kingdom,Desktop,Email Campaign,Pro
U000106,2024-10-01,Netherlands,Mobile,Organic Search,Free
U000107,2024-03-08,United States,Mobile,Referral,Family
U000108,2024-08-04,United Kingdom,Desktop,Organic Search,Pro
U000109,2025-08-03,France,Desktop,Organic Search,Pro
U000110,2024-11-18,United States,Mobile,Email Campaign,Free
U000111,2024-08-05,United States,Tablet,Referral,Free
U000112,2025-11-02,Canada,Tablet,Email Campaign,Pro
U000113,2025-05-26,United Kingdom,Desktop,Email Campaign,Free
U000114,2025-02-09,Germany,Tablet,Organic Search,Free
U000115,2025-10-20,United States,Mobile,Organic Search,Free
U000116,2025-04-14,United States,Mobile,Email Campaign,Free
U000117,2024-05-26,Australia,Desktop,Paid Search,Pro
U000118,2024-09-28,United States,Tablet,Organic Search,Family
U000119,2024-05-22,United States,Tablet,Direct,Family
U000120,2024-09-09,United States,Mobile,Email Campaign,Free
U000121,2025-07-28,France,Mobile,Referral,Pro
U000122,2025-07-05,France,Tablet,Organic Search,Free
U000123,2024-09-26,Australia,Tablet,Referral,Pro
U000124,2025-08-21,United Kingdom,Desktop,Referral,Free
U000125,2025-03-14,France,Desktop,Email Campaign,Family
U000126,2025-08-20,Spain,Mobile,Facebook Ads,Pro
U000127,2025-02-12,Spain,Desktop,Email Campaign,Pro
U000128,2025-01-05,Australia,Mobile,Email Campaign,Free
U000129,2024-08-12,Australia,Tablet,Organic Search,Free
U000130,2024-05-21,United Kingdom,Mobile,Email Campaign,Free
U000131,2025-06-05,France,Desktop,Email Campaign,Pro
U000132,2025-05-20,Canada,Mobile,Referral,Free
U000133,2024-04-03,United States,Tablet,Email Campaign,Family
U000134,2024-02-18,Australia,Mobile,Email Campaign,Family
U000135,2024-04-22,Canada,Desktop,Referral,Free
U000136,2024-06-05,Australia,Mobile,Paid Search,Pro
U000137,2025-10-04,France,Desktop,Organic Search,Pro
U000138,2024-06-12,Germany,Mobile,Direct,Pro
U000139,2025-11-27,France,Mobile,Email Campaign,Free
U000140,2025-03-08,United States,Desktop,Email Campaign,Pro
U000141,2025-09-02,Spain,Desktop,Organic Search,Free
U000142,2024-03-06,United Kingdom,Mobile,Referral,Free
U000143,2025-01-29,Canada,Desktop,Direct,Pro
U000144,2025-01-25,Germany,Mobile,Email Campaign,Family
U000145,2025-09-02,United States,Tablet,Direct,Free
U000146,2025-04-24,Germany,Tablet,Direct,Free
U000147,2025-06-25,France,Desktop,Organic Search,Free
U000148,2024-09-14,United States,Desktop,Organic Search,Pro
U000149,2025-07-20,United States,Desktop,Email Campaign,Free
U000150,2024-01-12,Spain,Desktop,Paid Search,Free
U000151,2025-11-27,United States,Desktop,Paid Search,Free
U000152,2024-04-27,United States,Mobile,Paid Search,Free
U000153,2025-11-29,Germany,Mobile,Organic Search,Pro
U000154,2025-07-03,France,Desktop,Email Campaign,Family
U000155,2024-09-30,United States,Desktop,Email Campaign,Pro
U000156,2025-10-18,United States,Desktop,Referral,Free
U000157,2024-12-14,France,Desktop,Referral,Pro
U000158,2024-04-24,United States,Desktop,Email Campaign,Family
U000159,2024-10-27,Germany,Mobile,Organic Search,Free
U000160,2025-03-21,France,Desktop,Paid Search,Free
U000161,2024-06-10,United States,Desktop,Paid Search,Free
U000162,2025-04-09,United States,Tablet,Direct,Pro
U000163,2024-01-04,Netherlands,Mobile,Organic Search,Free
U000164,2024-09-26,France,Mobile,Referral,Free
U000165,2025-05-27,United Kingdom,Desktop,Email Campaign,Free
U000166,2024-07-01,United Kingdom,Tablet,Email Campaign,Free
U000167,2025-06-03,United States,Desktop,Paid Search,Free
U000168,2024-04-18,United States,Desktop,Paid Search,Family
U000169,2025-10-02,United States,Mobile,Referral,Family
U000170,2024-11-01,United States,Desktop,Email Campaign,Pro
U000171,2025-10-16,Canada,Desktop,Paid Search,Pro
U000172,2025-06-03,Australia,Mobile,Direct,Free
U000173,2025-09-15,Netherlands,Desktop,Facebook Ads,Free
U000174,2024-07-22,Germany,Desktop,Organic Search,Free
U000175,2024-06-05,United Kingdom,Mobile,Organic Search,Free
U000176,2025-01-17,France,Desktop,Facebook Ads,Free
U000177,2024-06-14,United States,Tablet,Facebook Ads,Pro
U000178,2025-07-06,United Kingdom,Mobile,Email Campaign,Free
U000179,2025-06-27,Germany,Desktop,Facebook Ads,Family
U000180,2024-01-01,Canada,Tablet,Organic Search,Pro
U000181,2025-09-05,Australia,Desktop,Organic Search,Pro
U000182,2024-11-27,France,Tablet,Organic Search,Pro
U000183,2025-05-15,United States,Desktop,Paid Search,Pro
U000184,2024-01-20,Spain,Mobile,Facebook Ads,Pro
U000185,2024-04-24,Germany,Mobile,Referral,Free
U000186,2025-01-06,Germany,Desktop,Email Campaign,Free
U000187,2024-11-10,United States,Tablet,Referral,Free
U000188,2024-09-02,Canada,Mobile,Organic Search,Family
U000189,2024-02-29,France,Desktop,Organic Search,Pro
U000190,2024-09-03,France,Mobile,Email Campaign,Pro
U000191,2025-08-03,United States,Desktop,Paid Search,Pro
U000192,2024-03-21,United States,Mobile,Email Campaign,Pro
U000193,2024-03-28,United Kingdom,Mobile,Organic Search,Pro
U000194,2025-05-12,United States,Desktop,Email Campaign,Free
U000195,2024-03-11,United States,Mobile,Email Campaign,Pro
U000196,2025-06-29,Spain,Mobile,Paid Search,Free
U000197,2024-05-08,United States,Tablet,Direct,Free
U000198,2024-05-11,Germany,Tablet,Organic Search,Free
U000199,2025-11-06,Germany,Mobile,Organic Search,Pro
U000200,2025-05-01,Australia,Mobile,Email Campaign,Family
U000201,2025-07-16,Spain,Desktop,Direct,Free
U000202,2024-06-18,Germany,Mobile,Email Campaign,Family
U000203,2024-09-28,Germany,Desktop,Email Campaign,Pro
U000204,2025-06-24,United States,Tablet,Email Campaign,Free
U000205,2025-09-13,France,Desktop,Organic Search,Free
U000206,2025-03-09,Netherlands,Desktop,Facebook Ads,Free
U000207,2024-08-04,France,Tablet,Facebook Ads,Free
U000208,2025-07-06,Spain,Desktop,Paid Search,Free
U000209,2025-12-07,United States,Desktop,Direct,Free
U000210,2024-07-24,Canada,Desktop,Direct,Pro
U000211,2025-12-31,United States,Mobile,Paid Search,Family
U000212,2024-11-15,United States,Desktop,Organic Search,Family
U000213,2025-02-12,Germany,Mobile,Organic Search,Pro
U000214,2025-11-18,United States,Tablet,Paid Search,Free
U000215,2025-10-27,United States,Mobile,Direct,Free
U000216,2025-01-17,Netherlands,Desktop,Direct,Free
U000217,2025-03-24,Germany,Mobile,Organic Search,Free
U000218,2025-06-13,Canada,Tablet,Referral,Free
U000219,2025-04-07,Spain,Desktop,Organic Search,Free
U000220,2024-05-03,Spain,Mobile,Organic Search,Free
